ฝันเห็นกก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นต้นกก ทำนายว่า อาจจะเข้าไปอยู่ในสถานการณ์ที่มีคนทะเลาะเบาะแว้งกัน และจะต้องเป็นคนกลางในการไกล่เกลี่ยความขัดแย้งที่เกิดขึ้น หรืออีกแง่หนึ่งจะได้เป็นคนกลางในการช่วยให้คู่รักที่ทะเลาะกันได้ปรับความเข้าใจกันอีกครั้ง | เลขเด็ด: ไม่ระบุ
ฝันเห็นคอ | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่าได้สวมสายสร้อยคอ หรือสร้อยข้อมือ  ทำนายว่า จะได้พบเพศตรงข้ามที่พึงพอใจ ถ้าเป็นหญิงมีครรภ์จะได้บุตรหญิงน่ารัก ชายจะได้ลาภเป็นความสุขทางใจ หรือลาภข้าวของมีค่า | เลขเด็ด: 22 , 02 , 228 , 203 , 308
ฝันเห็นคอกหมู | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นค้อน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นค้าขาย | การงาน: ฝันว่าตัวเองค้าขาย ทำนายว่า จะได้รับความสุขทั้งครอบครัว ได้ไปท่องเที่ยวพักผ่อน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 47 , 49 , 149 , 247
ฝันเห็นคางคก | การงาน: ฝันเห็นคางคก  ทำนายว่า จะมีเรื่องทะเลาะวิวาท บาดหมางกับคนในครอบครัว หรือในที่ทำงาน ถึงเลือดตกยางออก หรือมิฉะนั้น ก็จะได้รับโรคภัยที่เกี่ยวกับผิวหนังร่างกาย | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นค้างคาว | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 30 , 45 , 65 , 456 , 265 , 812
ฝันเห็นค่ำคืน | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นความมืดยามค่ำคืน มีแสงระยิบระยับ คนมีคู่จะมีความสุขมาก คนโสดจะได้พบเนื้อคู่ที่ดี | เลขเด็ด: 22 , 44 , 662 , 644
ฝันเห็นคำนับ | การงาน: ฝันว่า คำนับผู้ใหญ่ หรือผู้บังคับบัญชาของเรา  ทำนายว่า จะได้รับเลื่อนตำแหน่งหน้าที่ในการงาน เป็นฝันดีมีลาภหรือผู้ใหญ่จะให้ของขวัญมีค่าแก่เรา | ความรัก: ไม่ชัดเจน | เลขเด็ด: 66 , 67 , 266 , 267 , 467
ฝันเห็นคุก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 41 , 46 , 47 , 142 , 334 , 756
ฝันเห็นคูคลอง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 07 , 77 , 27 , 727 , 227 , 207
ฝันเห็นคู่รัก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นคู่รักหรือคนรัก ได้มีการกอดรัดพูดคุยกันในฝัน  ทำนายว่า จะต้องพลัดคู่จากกัน หรือมีอุปสรรคมาขัดขวางทางรัก มิให้สมปรารถนา ถ้าในฝันเป็นคนแปลกหน้าที่บังเอิญไปพบกัน  ทำนายว่า จะมีศัตรูที่เป็นเพศตรงข้ามปองร้าย | เลขเด็ด: 55 , 66 , 33 , 335 , 366 , 784 , 633
ฝันเห็นเครื่องครัว | การงาน: ฝันเห็นครัว หรือเครื่องครัว เช่น เตาไฟ หรือภาชนะหุงต้ม  ทำนายว่า จะได้โยกย้ายหรือเปลี่ยนที่อยู่ใหม่ดีกว่าเก่า ชายที่มีครอบครัวแล้ว จะได้บุตรเป็นหญิง หรือมิฉะนั้น จะได้เลื่อนตำแหน่งขึ้นดีกว่าเก่า | ความรัก: ไม่ชัดเจน | เลขเด็ด: 18 , 28 , 29 , 289 , 218 , 890
ฝันเห็นเครื่องดนตรี | การงาน: ฝันเห็นเครื่องดนตรี เช่น ปี่ หรือ ไวโอลิน แต่มิได้จับต้องขึ้นมาเป่าหรือสี  ทำนายว่า จะได้รับชื่อเสียง และความสำเร็จในหน้าที่การงาน แต่มิใช่เป็นโชคลาภทางเงินทองหรือข้าวของ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 88 , 78 , 76 , 688 , 765 , 386 , 877
ฝันเห็นเครื่องแต่งตัว | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นเครื่องแต่งตัว เสื้อผ้าอาภรณ์หรือเครื่องประดับต่างๆ หรือฝันว่า ได้แต่งเสื้อผ้าอาภรณ์ใหม่ ถ้าเป็นหญิงมีครรภ์  ทำนายว่า จะได้บุตรหญิงน่ารักใคร่ ถ้าเป็นชายโสดจะได้คู่ หญิงโสดจะได้คู่ที่เป็นชายมีชื่อเสียงฐานะดี | เลขเด็ด: 78 , 67 , 68 , 778 , 667 , 668 , 557
